ID,Phase,Priority,Task,Owner,Reviewer,Start,Due,Depends on,Done when,Status
Z01,P0 Step zero,P0,Park uncommitted assessments/AI interview work on feature branch,Ram,Vivek,2026-09-26,2026-09-26,,feature/assessments-ai-interview pushed with known-issues list,Done
Z02,P0 Step zero,P0,Create launch/job-portal branch from latest main,Ram,Vivek,2026-09-26,2026-09-26,,Branch pushed; team told to branch from it,Done
Z03,P0 Step zero,P0,Rotate MongoDB / JWT / SESSION / OTP secrets and Razorpay test key (see README runbook),Imran,Vivek,2026-09-26,2026-09-27,,New values live on Render; old values confirmed dead; logged in security-hardening.md,Not started
Z04,P0 Step zero,P0,Team kickoff call (30 min): walk through README and tracker; confirm owners,Ram,All,2026-09-27,2026-09-27,,Every owner has acknowledged their rows,Not started
Z05,P0 Step zero,P0,Confirm Render plan (free or paid) and Atlas/Cloudinary/Brevo tiers,Imran,Ram,2026-09-27,2026-09-27,,Tiers written in README,Not started
S01,P1 Lock and cut,P0,"Feature flag: hide courses, payments, assessments, AI interview (client VITE_ENABLE_* + server conditional route mounts)",Sneha,Vivek,2026-09-27,2026-09-29,,"No course/payment/assessment UI anywhere for any role; /api/courses, /api/course-content, /api/payment, /api/employer/learning, /api/assessments return 404",Not started
S02,P1 Lock and cut,P0,Remove Razorpay hardcoded fallbacks and order_test_/no-signature bypass in paymentController,Vivek,Tripti,2026-09-27,2026-09-28,Z03,No hardcoded keys; verify rejects unsigned/sandbox orders; test added,Not started
S03,P1 Lock and cut,P0,Enforce moderation: new jobs/internships always Pending Approval; employers cannot set Published (create + update + status endpoints + listingSecurity allowlist),Vivek,Tripti,2026-09-27,2026-09-29,,Integration test proves employer cannot self-publish; admin approve publishes,Not started
S04,P1 Lock and cut,P0,Employer verification: new employers blocked from posting until admin approves; wire PlatformSetting autoApproveJobs/autoApproveEmployers/allowEmployerRegistration,Vivek,Tripti,2026-09-28,2026-09-30,S03,Unapproved employer gets 403 on post; admin settings change behaviour,Not started
S05,P1 Lock and cut,P0,"Lock down socket.io: authenticate handshake via JWT cookie, only join own rooms, remove io.emit broadcasts, restrict CORS origins",Vivek,Tripti,2026-09-28,2026-09-30,,Second browser cannot receive another user's interview/application events,Not started
S06,P1 Lock and cut,P0,"Enable globalLimiter/otpLimiter/aiResumeLimiter; set TRUST_PROXY_HOPS on Render; rate-limit /api/internships/live",Imran,Vivek,2026-09-27,2026-09-29,,Limits verified per-IP from two different IPs,Not started
S07,P1 Lock and cut,P0,Turn off LinkedIn and Internshala scraping; remove invented salary/responsibilities for external jobs,Imran,Ram,2026-09-27,2026-09-28,,No LinkedIn/Internshala requests in logs; external jobs show only source data,Not started
S08,P1 Lock and cut,P1,"Role checks: student routes require student type; only candidates can apply; remove/secure /api/student/apply duplicate path",Vivek,Tripti,2026-09-29,2026-09-30,,Employer apply returns 403; tests added,Not started
S09,P1 Lock and cut,P1,Fix admin JWT missing av claim and admin cookie sameSite for cross-site deploy,Vivek,Tripti,2026-09-29,2026-09-30,,Admin stays logged in on production domain after password reset of another admin,Not started
S10,P1 Lock and cut,P1,Lower bcrypt cost 12 -> 10 (existing hashes still verify),Vivek,Tripti,2026-09-29,2026-09-29,,Login CPU time roughly quartered; old accounts still log in,Not started
I01,P1 Lock and cut,P0,UptimeRobot (free) ping /health every 5 min; alert to team email,Imran,Ram,2026-09-27,2026-09-27,Z05,No cold starts; downtime alert received in test,Not started
I02,P1 Lock and cut,P0,Nightly mongodump backup via GitHub Actions to private storage; test a restore,Imran,Tripti,2026-09-28,2026-09-30,Z03,Restore into scratch DB succeeds,Not started
I03,P1 Lock and cut,P1,Put Cloudflare free proxy in front of the domain (DNS + SSL + caching of static assets),Imran,Ram,2026-09-29,2026-09-30,,Domain served via Cloudflare; site works end to end,Not started
G01,P2 Close gaps,P0,"Public job and internship detail pages at /jobs/:id and /internships/:id (no login to view), fix employer /jobs/:id/applications 404",Sneha,Tripti,2026-10-01,2026-10-03,S03,Shareable link opens for logged-out visitor; apply prompts login,Not started
G02,P2 Close gaps,P1,"SEO: per-page title/description/OG tags, JobPosting JSON-LD on employer-posted jobs, sitemap.xml, robots.txt",Sneha,Ram,2026-10-02,2026-10-05,G01,Google Rich Results Test passes for a job page; sitemap lists live jobs,Not started
G03,P2 Close gaps,P0,"Candidate emails for application status change, interview scheduled/changed, offer sent (respect 300/day Brevo; SMTP fallback)",Vivek,Tripti,2026-10-01,2026-10-03,,Each event sends one email; daily volume counter logged,Not started
G04,P2 Close gaps,P0,Auto-close jobs/internships after deadline (scheduled job) and block applying to expired listings,Vivek,Tripti,2026-10-02,2026-10-03,,Expired listing disappears from lists and apply returns 400,Not started
G05,P2 Close gaps,P0,"Privacy Policy, Terms, Contact pages; fix footer links; consent checkbox on all signup paths (DPDP notice + grievance contact)",Sneha,Ram,2026-10-01,2026-10-04,L01,Pages live; signup blocked without consent; consent timestamp stored,Not started
G06,P2 Close gaps,P0,Global React error boundary + lazy-chunk load retry,Sneha,Tripti,2026-10-01,2026-10-01,,Thrown error shows fallback UI instead of blank page,Not started
G07,P2 Close gaps,P0,Account deletion (candidate + employer) that also deletes resumes from Cloudinary,Yug,Vivek,2026-10-01,2026-10-04,G08,User can delete account; Cloudinary assets gone,Not started
G08,P2 Close gaps,P1,Cloudinary cleanup: destroy old asset on resume update/delete,Yug,Vivek,2026-09-28,2026-09-30,,Asset count stable after 5 edits of one resume,Not started
G09,P2 Close gaps,P0,"Rate-limit AI resume routes; cap Gemini retry chain to 2 attempts; per-user daily free AI quota",Yug,Vivek,2026-09-27,2026-09-30,,Quota exceeded returns friendly 429; no more than 2 Gemini calls per action,Not started
G10,P2 Close gaps,P1,Resume uploads: either parse DOCX or accept PDF only; verify only employers the candidate applied to can view a resume,Yug,Tripti,2026-10-01,2026-10-03,,Upload rules consistent; unauthorized resume URL returns 403,Not started
G11,P2 Close gaps,P1,Report this job button + endpoint feeding admin reports,Sneha,Vivek,2026-10-03,2026-10-05,,Report appears in admin reports within one minute,Not started
G12,P2 Close gaps,P1,Fix public-path 401 redirect list (jobs/internships/organizations) in client api.jsx,Sneha,Tripti,2026-09-29,2026-09-29,,Logged-out visitor never bounced to /login on public pages,Not started
I04,P2 Close gaps,P0,"Replace per-request scraping with scheduled sync into DB (stable IDs, isExternal, source + attribution, expiry); admin-only sync trigger",Imran,Vivek,2026-10-01,2026-10-04,S07,Job list served from DB only; p95 under 1.5 s,Not started
I05,P2 Close gaps,P1,"Add legal job feeds: Greenhouse / Lever / Ashby public boards for a curated list of Indian companies; Adzuna/Jooble/Careerjet (India) after checking terms",Imran,Ram,2026-10-02,2026-10-05,I04,500+ real external jobs with working apply links,Not started
I06,P2 Close gaps,P1,"compression middleware, Cache-Control on public lists, {status,createdAt} index, text index for search, lean() on application lists",Imran,Vivek,2026-10-01,2026-10-03,,Job list response gzipped; explain() shows index use,Not started
I07,P2 Close gaps,P1,Move interview sweep out of per-minute full scan (filter by time + index + lean) or to a scheduled worker,Vivek,Imran,2026-10-02,2026-10-03,,Sweep query uses index; no full collection load,Not started
I08,P2 Close gaps,P1,Sentry free (client + server) and a free analytics tool,Imran,Tripti,2026-10-03,2026-10-05,,Test error visible in Sentry; page views tracked,Not started
J01,Supply (daily),P0,"Employer outreach: each member 10 personal messages/day (LinkedIn, WhatsApp, email); Founding Employer offer",All,Ram,2026-09-27,2026-10-10,,50+ approved employers and 200+ real listings by 10 Oct,Not started
